1321|fba|768.9000|MXN
1322|fba|1489.0000|MXN
1323|fba|768.9000|MXN
1324|fba|768.9000|MXN
1325|fba|1489.0000|MXN
1326|fba|1189.0000|MXN
1327|fba|1489.0000|MXN
1328|fba|1489.0000|MXN
1329|fba|1489.0000|MXN
1330|fba|1489.0000|MXN
1331|fba|1189.0000|MXN
1332|fba|1189.0000|MXN
1333|fba|1189.0000|MXN
1334|fba|1189.0000|MXN
1335|fba|1189.0000|MXN
1336|fba|1189.0000|MXN
1337|fba|1189.0000|MXN
1338|fba|1189.0000|MXN
1339|fba|1189.0000|MXN
1340|fba|1189.0000|MXN
1341|fba|1189.0000|MXN
1342|fba|1189.0000|MXN
1343|fba|1189.0000|MXN
1344|fba|1189.0000|MXN
1345|fba|1189.0000|MXN
1346|fba|1189.0000|MXN
1347|fba|1189.0000|MXN
1348|fba|1189.0000|MXN
1349|fba|1189.0000|MXN
1350|fba|1189.0000|MXN
1351|fba|1189.0000|MXN
1352|fba|1189.0000|MXN
1353|fba|1189.0000|MXN
1354|fba|1489.0000|MXN
1355|fba|1489.0000|MXN
1356|fba|1489.0000|MXN
1357|fba|1489.0000|MXN
1358|fba|1489.0000|MXN
1359|fba|1489.0000|MXN
1360|fba|1489.0000|MXN
1361|fba|1489.0000|MXN
1362|fba|1489.0000|MXN
1363|fba|1489.0000|MXN
