pg_version|16.15 (Homebrew)
sin_0039|false
btree_gist|1
config_id|2
config_label|ensayo D.0 del lead (primera corrida): it's a \test
claves_precio|20
listing_dup_id_platform|0
cap:ads_optimizer:amazon_mx:bid|20
cap:ads_optimizer:amazon_mx:harvest|2
cap:ads_optimizer:amazon_mx:negative|10
cap:ads_optimizer:amazon_mx:pause|5
cap:ads_optimizer:amazon_us:bid|20
cap:ads_optimizer:amazon_us:harvest|2
cap:ads_optimizer:amazon_us:negative|10
cap:ads_optimizer:amazon_us:pause|5
